#domain,port,ioc,ip
diasporaforlebanon.com,48888,Possible PiKVM Domain (Unverified),47.180.83.69
diasporaforlebanon.com,4889,Possible PiKVM Domain (Unverified),47.180.83.69
dolmen.shatteredatoms.com,44543,Possible PiKVM Domain (Unverified),75.51.26.43
dune.royalm.dk,443,Possible PiKVM Domain (Unverified),65.108.227.254
dune.royalm.dk,80,Possible PiKVM Domain (Unverified),65.108.227.254
dwizz10038.synology.me,8888,Possible GLKVM Domain (Unverified),92.70.185.106
dwizz10038.synology.me,8889,Possible GLKVM Domain (Unverified),92.70.185.106
eademidkovk.direct.quickconnect.to,3380,Possible NanoKVM Domain (Unverified),95.154.109.69
eclext.asuscomm.com,5445,Possible PiKVM Domain (Unverified),120.245.61.69
edge.wlianhao.asia,9443,Possible PiKVM Domain (Unverified),64.90.3.189
ekaterina-nikityuk.ru,33444,Possible NanoKVM Domain (Unverified),77.239.233.165
emby.093363.xyz,18443,Possible PiKVM Domain (Unverified),119.29.217.214
emcnair.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),76.149.0.47
emreyapici.direct.quickconnect.to,1313,Possible NanoKVM Domain (Unverified),37.130.64.72
erp.speed-sci.net,34443,Possible NanoKVM Domain (Unverified),111.198.55.66
esi032wyiwkqd9fs.myfritz.net,4431,Possible GLKVM Domain (Unverified),93.249.7.162
essa.amn.team,8443,Possible GLKVM Domain (Unverified),150.136.117.14
fdlab.pw,443,Possible GLKVM Domain (Unverified),76.133.139.205
fedyushkina.ru,8443,Possible NanoKVM Domain (Unverified),95.31.132.12
filebrowser.gtdshka.ru,8443,Possible PiKVM Domain (Unverified),77.37.156.169
firefin.loenberg.net,4443,Possible GLKVM Domain (Unverified),50.126.137.24
firefly.kaliwe.ru,8888,Possible NanoKVM Domain (Unverified),87.228.164.95
fn.onpp.cc,2506,Possible PiKVM Domain (Unverified),58.38.54.138
fridstein.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),37.204.54.154
fs.winter.com.de,5830,Possible PiKVM Domain (Unverified),79.202.27.150
funkwhale.brnklmr.com,18443,Possible NanoKVM Domain (Unverified),77.37.180.210
furryham.cn,33334,Possible GLKVM Domain (Unverified),119.98.153.58
fw.fbifbi.com,443,Possible TinyPilot KVM Domain (Unverified),46.232.148.119
game-node1.akeb.ru,60443,Possible NanoKVM Domain (Unverified),95.84.158.6
ganovquickservice.direct.quickconnect.to,59512,Possible NanoKVM Domain (Unverified),78.157.227.154
gd.zhypro.cn,51111,Possible GLKVM Domain (Unverified),106.52.180.169
gd.zhypro.cn,51112,Possible GLKVM Domain (Unverified),106.52.180.169
ge-ho.feste-ip.net,59677,Possible PiKVM Domain (Unverified),185.248.148.15
gimnazija.mrservice.me,8080,Possible NanoKVM Domain (Unverified),46.161.123.162
giorgos-synology.direct.quickconnect.to,8080,Possible GLKVM Domain (Unverified),207.38.245.104
git.nova.im,45443,Possible PiKVM Domain (Unverified),91.67.24.108
gitlab-pages.euroident.de,4433,Possible GLKVM Domain (Unverified),87.140.5.121
gitlab.basschouten.com,27893,Possible PiKVM Domain (Unverified),82.163.41.149
gitlab.dronology.ovh,8085,Possible PiKVM Domain (Unverified),193.218.203.8
