#domain,port,ioc,ip
giorgos-synology.direct.quickconnect.to,8080,Possible GLKVM Domain (Unverified),207.38.245.104
git.tdehaeze.xyz,47392,Possible PiKVM Domain (Unverified),82.66.44.13
gitlab-page.itpours.com,3662,Possible PiKVM Domain (Unverified),171.35.84.50
gitlab.devops-labs.ru,9044,Possible NanoKVM Domain (Unverified),45.155.147.137
gitlab.dronology.ovh,8085,Possible PiKVM Domain (Unverified),193.218.203.8
glkvm.makatun.net,443,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.makatun.net,80,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.schuller-it.de,1443,Possible GLKVM Domain (Unverified),87.106.162.176
gm.topmser.ddnsgeek.com,4445,Possible PiKVM Domain (Unverified),210.6.96.136
gmzozjoylyzicw6q.myfritz.net,443,Possible GLKVM Domain (Unverified),194.183.30.78
gmzozjoylyzicw6q.myfritz.net,80,Possible GLKVM Domain (Unverified),194.183.30.78
gonzalez.diskstation.me,8000,Possible NanoKVM Domain (Unverified),217.31.190.115
gost.heiok.top,42025,Possible PiKVM Domain (Unverified),1.14.75.7
gotify.nannal.com,61337,Possible NanoKVM Domain (Unverified),84.240.20.230
guacamole.kolorama.net,5051,Possible NanoKVM Domain (Unverified),77.45.103.59
gw-dc-1-gkbn.netcraze.link,8443,Possible NanoKVM Domain (Unverified),85.143.203.174
h.vadima.net,9443,Possible NanoKVM Domain (Unverified),178.219.86.226
h3mj.synology.me,8888,Possible GLKVM Domain (Unverified),126.7.220.153
h3mj.synology.me,9999,Possible GLKVM Domain (Unverified),126.7.220.153
ha.cogo.ovh,8443,Possible PiKVM Domain (Unverified),82.65.3.131
ha.gtdshka.ru,8443,Possible PiKVM Domain (Unverified),77.37.156.169
ha.kellashee.fun,10445,Possible NanoKVM Domain (Unverified),99.152.36.137
hamon0720.kami.live,59057,Possible NanoKVM Domain (Unverified),116.127.199.214
hanwusk.com,202,Possible PiKVM Domain (Unverified),120.27.15.209
haraspberrypi.duckdns.org,10058,Possible NanoKVM Domain (Unverified),109.194.141.174
harryandblanche.direct.quickconnect.to,8000,Possible NanoKVM Domain (Unverified),136.53.196.118
hd2faesan.direct.quickconnect.to,8765,Possible NanoKVM Domain (Unverified),88.19.200.169
herolien.ddns.net,9443,Possible GLKVM Domain (Unverified),109.21.97.161
hlabbe.synology.me,443,Possible GLKVM Domain (Unverified),76.102.11.72
home.stefano-baldi.com,40443,Possible GLKVM Domain (Unverified),80.73.236.18
home.tallent.us,14438,Possible PiKVM Domain (Unverified),70.131.165.225
hoper.65-studio.com,8888,Possible NanoKVM Domain (Unverified),188.233.254.37
hoper.65-studio.com,8889,Possible NanoKVM Domain (Unverified),188.233.254.37
hs.agafonov.club,19680,Possible NanoKVM Domain (Unverified),89.19.177.198
hs.agafonov.club,8484,Possible NanoKVM Domain (Unverified),89.19.177.198
hyperperceptron.asuscomm.com,4512,Possible PiKVM Domain (Unverified),123.192.65.137
hyperperceptron.synology.me,3512,Possible PiKVM Domain (Unverified),123.192.65.137
hytecinter-tokyo.direct.quickconnect.to,3888,Possible NanoKVM Domain (Unverified),118.238.205.14
icpsco.net,443,Possible GLKVM Domain (Unverified),24.229.127.67
icpsco.net,80,Possible GLKVM Domain (Unverified),24.229.127.67
idired.asuscomm.com,12345,Possible NanoKVM Domain (Unverified),79.117.124.164
iexcept.direct.quickconnect.to,17171,Possible PiKVM Domain (Unverified),185.143.146.25
ifhtp.com,1380,Possible NanoKVM Domain (Unverified),24.141.29.13
img.jd-tcc.com,8009,Possible PiKVM Domain (Unverified),47.97.165.76
int-ventanas.carpintek.es,5443,Possible PiKVM Domain (Unverified),90.164.254.165
iot.fzfrd.com,53100,Possible PiKVM Domain (Unverified),183.250.202.67
iot.fzfrd.com,53102,Possible PiKVM Domain (Unverified),183.250.202.67
ipkonzol.sigmanet.hu,443,Possible GLKVM Domain (Unverified),87.229.99.20
ipkonzol.sigmanet.hu,80,Possible GLKVM Domain (Unverified),87.229.99.20
ipkvm.pub,608,Possible GLKVM Domain (Unverified),222.128.48.207
island2013.oestrup.dk,6311,Possible NanoKVM Domain (Unverified),5.103.215.195
itboriki.ru,41593,Possible NanoKVM Domain (Unverified),178.234.13.137
itth.top,7743,Possible PiKVM Domain (Unverified),119.91.151.38
iwoniczzdroj.fotopolska.eu,6913,Possible NanoKVM Domain (Unverified),79.110.203.11
jamb.mooo.com,60443,Possible PiKVM Domain (Unverified),46.149.84.98
jammbo.net,443,Possible GLKVM Domain (Unverified),73.124.31.3
jcw81.direct.quickconnect.to,10088,Possible NanoKVM Domain (Unverified),128.106.40.182
jelly.privaccouting.dedyn.io,8090,Possible PiKVM Domain (Unverified),159.69.250.5
