#domain,port,ioc
server-web-cdn.rojotoc516.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.vosax32455.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.vosax32455.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.yevobod379.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn.yevobod379.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
server-web-cdn1.gekod80409.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
update211.security-ssa-gov.com,443,Possible ErrTraffic Domain (Unverified)
update211.security-ssa-gov.com,80,Possible ErrTraffic Domain (Unverified)
web-app.dasik14289.workers.dev,443,Possible SMOKEDHAM Domain (Unverified)
web-app.dasik14289.workers.dev,80,Possible SMOKEDHAM Domain (Unverified)
wereatwar.com,443,Possible CastleLoader Domain (Unverified)
wereatwar.com,80,Possible CastleLoader Domain (Unverified)
winiks.com,443,Possible ErrTraffic Domain (Unverified)
winiks.com,80,Possible ErrTraffic Domain (Unverified)
www.alafair.net,443,Possible CastleLoader Domain (Unverified)
www.alafair.net,80,Possible CastleLoader Domain (Unverified)
www.bethschwier.com,443,Possible CastleLoader Domain (Unverified)
www.bethschwier.com,80,Possible CastleLoader Domain (Unverified)
www.devopstechnologies.site,443,Possible SMOKEDHAM Domain (Unverified)
www.keystore-explorer.com,443,Possible SMOKEDHAM Domain (Unverified)
www.ladydosug.cfd,443,Possible ErrTraffic Domain (Unverified)
www.wereatwar.com,443,Possible CastleLoader Domain (Unverified)
www.wereatwar.com,80,Possible CastleLoader Domain (Unverified)
www.winabla.com,443,Possible ErrTraffic Domain (Unverified)
www.winiks.com,443,Possible ErrTraffic Domain (Unverified)
www.winiks.com,80,Possible ErrTraffic Domain (Unverified)
