#domain,port,ioc,ip
bc.kbry.net,443,Possible BurpSuite Collaborator Domain (Unverified),34.231.199.127
bc.kbry.net,80,Possible BurpSuite Collaborator Domain (Unverified),34.231.199.127
bc.nhbr.sh,443,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.nhbr.sh,80,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.oauth.us.to,443,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
bc.oauth.us.to,80,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
bc.ownsec.red,443,Possible BurpSuite Collaborator Domain (Unverified),151.80.216.232
bc.ownsec.red,80,Possible BurpSuite Collaborator Domain (Unverified),151.80.216.232
bc.pingback.zone,443,Possible BurpSuite Collaborator Domain (Unverified),138.68.114.237
bc.pingback.zone,80,Possible BurpSuite Collaborator Domain (Unverified),138.68.114.237
bc.prodsec-os.cloudera.com,443,Possible BurpSuite Collaborator Domain (Unverified),34.211.159.172
bc.prodsec-os.cloudera.com,80,Possible BurpSuite Collaborator Domain (Unverified),34.211.159.172
bc.s3q.pw,80,Possible BurpSuite Collaborator Domain (Unverified),78.155.204.104
bc.secura-test.com,10080,Possible BurpSuite Collaborator Domain (Unverified),136.144.212.94
bc.tesred.com,443,Possible BurpSuite Collaborator Domain (Unverified),134.199.228.178
bc.tesred.com,80,Possible BurpSuite Collaborator Domain (Unverified),134.199.228.178
bc.ukpt.uk,443,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bc.ukpt.uk,80,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bc.wpcookie.net,443,Possible BurpSuite Collaborator Domain (Unverified),83.228.247.89
bc.wpcookie.net,80,Possible BurpSuite Collaborator Domain (Unverified),83.228.247.89
bcollaborator.syss.de,443,Possible BurpSuite Collaborator Domain (Unverified),185.142.184.12
bcollaborator.syss.de,80,Possible BurpSuite Collaborator Domain (Unverified),185.142.184.12
bcpoll.ukpt.uk,33443,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bcsd.digitrace.de,443,Possible BurpSuite Collaborator Domain (Unverified),85.88.9.184
bcsd.digitrace.de,80,Possible BurpSuite Collaborator Domain (Unverified),85.88.9.184
becomnas5.direct.quickconnect.to,8888,Possible Hak5 Cloud C2 Domain (Unverified),198.52.49.153
biomediclife.com,443,Possible DinDoor Domain (Unverified),38.180.250.214
bloomerya.com,80,Possible DinDoor Domain (Unverified),23.94.145.121
bmoburpcollab.ca,443,Possible BurpSuite Collaborator Domain (Unverified),40.71.163.162
bmoburpcollab.ca,80,Possible BurpSuite Collaborator Domain (Unverified),40.71.163.162
br.ht,443,Possible BurpSuite Collaborator Domain (Unverified),70.34.195.164
