#domain,ioc,uri_path
ns2.norincogroup.site,Possible Cobalt Strike C2 Domain,/visit.js
ns2.vip404.eu.org,Possible Cobalt Strike C2 Domain,/cx
ns2.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns3.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
ns3.norincogroup.site,Possible Cobalt Strike C2 Domain,/__utm.gif
ns3.vip404.eu.org,Possible Cobalt Strike C2 Domain,/j.ad
ns3.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns8.x7z.mom,Possible Cobalt Strike C2 Domain,/match
nt1.227api.com,Possible Cobalt Strike C2 Domain,/push
nt2.227api.com,Possible Cobalt Strike C2 Domain,/load
nt3.227api.com,Possible Cobalt Strike C2 Domain,/dot.gif
oa.dahuatec.xyz,Possible Cobalt Strike C2 Domain,/www/handle/doc
ongmanibeimeihong.cdnaliyun.top,Possible Cobalt Strike C2 Domain,/match
organic-satire-gw.aws-euc1.cloud-ara.tyk.io,Possible Cobalt Strike C2 Domain,/api/v2/login
past-dryer-gw.aws-apse2.cloud-ara.tyk.io,Possible Cobalt Strike C2 Domain,/api/v2/login
powerbi3-dffqb3gfbudugyas.z03.azurefd.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
public-json.oss-cn-beijing.aliyuncs.com,Possible Cobalt Strike C2 Fronting Domain,/vendorReact.dc6a29.chunk.js
python.org,Possible Cobalt Strike C2 Fronted Domain,/load
rasprod.biz,Possible Cobalt Strike C2 Domain,/Communicate/v10.26/ICMP6DYXAP5
s3.sankuai.com,Possible Cobalt Strike C2 Fronting Domain,/load
s3dpsid.shop,Possible Cobalt Strike C2 Domain,/jquery-3.7.1.min.js
sanhaozhifu.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
securenetwork.azureedge.net,Possible Cobalt Strike C2 Domain,/gopher.xml
security-socks.expert,Possible Cobalt Strike C2 Domain,/Understand/v2.61/RYLQUPM8LL
security-socks777.com,Possible Cobalt Strike C2 Domain,/Understand/v2.61/RYLQUPM8LL
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/admin/login
service-1scv7ngm-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/user
service-1w88bdif-1300276284.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php
service-2rawgstq-1306320113.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/ca
service-4iisjdnk-1314135568.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/cx
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-9sehd1r7-1252427727.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-ac5ca85o-1314199502.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/pixel
service-b0kt7bkd-1307485220.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-c394iukq-1327454768.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/index.jsp
service-dq87eeqy-1259321672.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/jquerys-6.3.5.max.js
service-e5obcthn-1301549065.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-f9dx5hom-1305082597.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-g0t0y6tj-1324325324.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain,/prod/api/debug
service-hsyluctr-1252427727.bj.tencentapigw.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
service-i4ipkrwm-1317712796.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/Compare/v2.66/G6EBS8VJR0
service-iktxibt6-1305682303.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-jjtluhvu-1308426789.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-k2snyjb7-1326503875.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/getit
service-k43f6rw9-1308954353.kr.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-l24muftx-1251354025.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/index.php/Public/login
service-lj3klqg6-1308639534.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/getit
service-o1dc3wx3-1311799005.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-opql05nu-1253504731.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-povdf8ll-1257331363.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-q3mcrtfk-1321877838.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-qvjas1rh-1309482226.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-qwflcy7c-1305872204.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/bootstrap-5.3.1.min.js
service-rbr85ft5-1259685312.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/get
sexvr.sex666vr.com,Possible Cobalt Strike C2 Fronting Domain,/heatmaps/fleshlights/6407/2467/4437aa96434ade021bef08371cf2ea22
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain,/ptj
static.chat5188.top,Possible Cobalt Strike C2 Domain,/api/v3/s25FogL
support.popuiarenlinea.com,Possible Cobalt Strike C2 Fronted Domain,/lv
sydnc.net,Possible Cobalt Strike C2 Domain,/functionalStatus/kUZTARMhqB9CLZlPFu1kZG2-FzAoT
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain,/include/template/isx.php
time.api.chinabm.cn,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
update.api.qianxin.xyz,Possible Cobalt Strike C2 Domain,/owa/
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/g.pixel
update.microsofthk.com,Possible Cobalt Strike C2 Domain,/dot.gif
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain,/cx
update.mirrorss.top,Possible Cobalt Strike C2 Domain,/img/icons_809ae65.png
update.winservers-network.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
upgrade.mirrorss.top,Possible Cobalt Strike C2 Domain,/img/sugbg_1762fe7.png
vip.zto.com,Possible Cobalt Strike C2 Fronted Domain,/static/icon/iconFont/kuaishou.js
ww2.jji.cz,Possible Cobalt Strike C2 Domain,/api/3
ww2.jji.cz,Possible Cobalt Strike C2 Domain,/googleapis/33
www.040.red,Possible Cobalt Strike C2 Domain,/updates
www.1234wu.com,Possible Cobalt Strike C2 Fronted Domain,/js/jquery-3.4.1.min.js
www.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
www.amazon.com,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
www.bitdefenders.shop,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.checkupdates50.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.e-enroll-benefits.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain,/image/
www.micorosoft-ai.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
www.nbch1na.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.qianxinnbplus.xyz,Possible Cobalt Strike C2 Domain,/fam_cart.html
www.sftech.one,Possible Cobalt Strike C2 Fronting Domain,/antDesign3.js
www.sonystore.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.tiasjdwwd.shop,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.updategateway.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
www.windowsuserapi.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/z
www.xahoithongtins.com,Possible Cobalt Strike C2 Domain,/jquery-3.5.6.min.js
www.xincyun.com,Possible Cobalt Strike C2 Domain,/api/3
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/async/newtab_promos
yuanruicn.top,Possible Cobalt Strike C2 Domain,/api/3
zakat.dompetdhuaafa.biz.id,Possible Cobalt Strike C2 Fronted Domain,/dhl
