#ip,port,ioc
158.180.74.142,808,Possible Cobaltstrike C2 IP
158.180.74.142,888,Possible Cobaltstrike C2 IP
158.180.74.142,8880,Possible Cobaltstrike C2 IP
158.247.231.82,8080,Possible Cobaltstrike C2 IP
159.223.193.11,53,Possible Cobaltstrike C2 IP
159.75.194.19,443,Possible Cobaltstrike C2 IP
16.162.137.167,53,Possible Cobaltstrike C2 IP
162.209.178.186,38433,Possible Cobaltstrike C2 IP
162.216.241.41,53,Possible Cobaltstrike C2 IP
164.90.239.60,53,Possible Cobaltstrike C2 IP
165.154.33.10,3332,Possible Cobaltstrike C2 IP
165.154.58.22,3332,Possible Cobaltstrike C2 IP
165.154.58.22,443,Possible Cobaltstrike C2 IP
165.22.243.144,53,Possible Cobaltstrike C2 IP
167.179.84.218,53,Possible Cobaltstrike C2 IP
167.71.207.129,2096,Possible Cobaltstrike C2 IP
167.71.60.109,53,Possible Cobaltstrike C2 IP
171.244.143.184,443,Possible Cobaltstrike C2 IP
171.244.143.184,4443,Possible Cobaltstrike C2 IP
171.244.143.184,80,Possible Cobaltstrike C2 IP
171.244.143.184,8880,Possible Cobaltstrike C2 IP
172.105.61.144,80,Possible Cobaltstrike C2 IP
172.178.99.203,443,Possible Cobaltstrike C2 IP
172.187.180.205,80,Possible Cobaltstrike C2 IP
172.232.132.65,443,Possible Cobaltstrike C2 IP
172.232.132.65,80,Possible Cobaltstrike C2 IP
174.138.50.62,443,Possible Cobaltstrike C2 IP
174.138.50.62,8089,Possible Cobaltstrike C2 IP
175.178.207.155,443,Possible Cobaltstrike C2 IP
175.178.226.246,33333,Possible Cobaltstrike C2 IP
175.178.226.246,443,Possible Cobaltstrike C2 IP
175.178.226.246,8085,Possible Cobaltstrike C2 IP
175.178.226.246,9999,Possible Cobaltstrike C2 IP
175.42.125.14,6005,Possible Cobaltstrike C2 IP
176.108.249.223,53,Possible Cobaltstrike C2 IP
176.111.174.138,443,Possible PoshC2 IP
18.142.246.61,2082,Possible Cobaltstrike C2 IP
18.142.246.61,80,Possible Cobaltstrike C2 IP
18.162.96.155,443,Possible Cobaltstrike C2 IP
18.162.96.155,4443,Possible Cobaltstrike C2 IP
18.162.96.155,8880,Possible Cobaltstrike C2 IP
18.163.238.67,80,Possible Cobaltstrike C2 IP
18.177.82.255,53,Possible Cobaltstrike C2 IP
18.180.61.72,53,Possible Cobaltstrike C2 IP
18.193.8.138,443,Possible Cobaltstrike C2 IP
18.197.102.82,53,Possible Cobaltstrike C2 IP
18.199.46.180,8080,Possible Cobaltstrike C2 IP
18.222.126.236,53,Possible Cobaltstrike C2 IP
180.76.138.238,443,Possible Cobaltstrike C2 IP
184.73.81.49,80,Possible Cobaltstrike C2 IP
185.123.102.92,443,Possible Metasploit C2 IP
185.17.115.238,443,Possible Cobaltstrike C2 IP
185.196.10.176,1433,Possible Cobaltstrike C2 IP
185.196.10.176,80,Possible Cobaltstrike C2 IP
185.196.11.90,80,Possible Cobaltstrike C2 IP
185.208.159.156,443,Possible Cobaltstrike C2 IP
185.234.216.143,443,Possible Cobaltstrike C2 IP
185.32.126.51,53,Possible Cobaltstrike C2 IP
185.73.124.232,80,Possible Cobaltstrike C2 IP
188.114.96.13,80,Possible Cobaltstrike C2 IP
188.114.96.13,8080,Possible Cobaltstrike C2 IP
191.101.44.35,53,Possible Cobaltstrike C2 IP
192.252.182.98,808,Possible Cobaltstrike C2 IP
192.252.183.228,2053,Possible Cobaltstrike C2 IP
192.252.183.228,2083,Possible Cobaltstrike C2 IP
192.252.183.228,2087,Possible Cobaltstrike C2 IP
192.252.183.228,2096,Possible Cobaltstrike C2 IP
192.252.183.228,8443,Possible Cobaltstrike C2 IP
193.122.74.238,1337,Possible Cobaltstrike C2 IP
193.149.180.139,53,Possible Cobaltstrike C2 IP
193.42.25.65,8085,Possible Cobaltstrike C2 IP
195.82.147.8,8080,Possible Cobaltstrike C2 IP
198.98.49.132,443,Possible Cobaltstrike C2 IP
198.98.58.127,443,Possible Cobaltstrike C2 IP
199.85.209.13,53,Possible Cobaltstrike C2 IP
20.189.76.133,5000,Possible Cobaltstrike C2 IP
20.189.79.97,3352,Possible Cobaltstrike C2 IP
20.5.43.62,80,Possible Cobaltstrike C2 IP
202.131.82.180,80,Possible Cobaltstrike C2 IP
202.144.192.25,443,Possible Cobaltstrike C2 IP
202.144.192.25,53,Possible Cobaltstrike C2 IP
202.181.24.231,8090,Possible Cobaltstrike C2 IP
202.95.12.137,443,Possible Cobaltstrike C2 IP
202.95.12.137,88,Possible Cobaltstrike C2 IP
203.212.130.2,713,Possible Metasploit C2 IP
206.204.132.114,8443,Possible Metasploit C2 IP
206.237.16.117,53,Possible Cobaltstrike C2 IP
207.148.68.118,53,Possible Cobaltstrike C2 IP
209.146.125.158,8889,Possible Cobaltstrike C2 IP
209.146.125.199,8888,Possible Cobaltstrike C2 IP
209.151.155.208,8000,Possible Metasploit C2 IP
209.38.237.143,53,Possible Cobaltstrike C2 IP
211.149.159.163,8888,Possible Cobaltstrike C2 IP
212.48.107.109,53,Possible Cobaltstrike C2 IP
213.139.205.144,443,Possible Metasploit C2 IP
213.171.26.52,53,Possible Cobaltstrike C2 IP
216.238.121.119,53,Possible Cobaltstrike C2 IP
223.26.61.66,8080,Possible Cobaltstrike C2 IP
23.224.146.124,53,Possible Cobaltstrike C2 IP
23.95.73.218,443,Possible Metasploit C2 IP
3.140.250.200,443,Possible Cobaltstrike C2 IP
3.234.57.245,443,Possible Cobaltstrike C2 IP
3.253.95.83,80,Possible Cobaltstrike C2 IP
3.72.24.250,53,Possible Cobaltstrike C2 IP
31.31.76.57,8203,Possible Metasploit C2 IP
31.57.243.133,9999,Possible Metasploit C2 IP
31.7.61.18,4430,Possible Metasploit C2 IP
31.7.61.18,8000,Possible Metasploit C2 IP
34.231.221.176,80,Possible Cobaltstrike C2 IP
34.238.38.19,53,Possible Cobaltstrike C2 IP
34.238.38.19,80,Possible Cobaltstrike C2 IP
34.238.38.19,8080,Possible Cobaltstrike C2 IP
34.238.38.19,8880,Possible Cobaltstrike C2 IP
34.41.14.254,443,Possible Cobaltstrike C2 IP
34.41.14.254,80,Possible Cobaltstrike C2 IP
34.55.187.149,443,Possible Cobaltstrike C2 IP
34.55.187.149,53,Possible Cobaltstrike C2 IP
34.55.187.149,8443,Possible Cobaltstrike C2 IP
35.192.70.193,443,Possible Cobaltstrike C2 IP
35.192.70.193,53,Possible Cobaltstrike C2 IP
35.192.70.193,80,Possible Cobaltstrike C2 IP
35.196.251.29,443,Possible Cobaltstrike C2 IP
35.77.10.21,53,Possible Cobaltstrike C2 IP
35.79.21.207,53,Possible Cobaltstrike C2 IP
37.152.190.239,8080,Possible Cobaltstrike C2 IP
38.147.170.218,8443,Possible Cobaltstrike C2 IP
38.207.176.155,81,Possible Cobaltstrike C2 IP
38.242.141.45,443,Possible Metasploit C2 IP
38.47.238.186,443,Possible Metasploit C2 IP
38.47.239.110,443,Possible Cobaltstrike C2 IP
38.54.115.233,4443,Possible Cobaltstrike C2 IP
38.54.115.233,8880,Possible Cobaltstrike C2 IP
39.100.93.1,443,Possible Cobaltstrike C2 IP
39.100.93.1,80,Possible Cobaltstrike C2 IP
39.102.213.118,2053,Possible Cobaltstrike C2 IP
39.102.213.118,443,Possible Cobaltstrike C2 IP
39.103.58.78,80,Possible Cobaltstrike C2 IP
39.105.204.209,80,Possible Cobaltstrike C2 IP
39.106.216.88,80,Possible Cobaltstrike C2 IP
39.106.216.88,888,Possible Cobaltstrike C2 IP
39.106.77.203,6666,Possible Cobaltstrike C2 IP
39.107.136.241,443,Possible Cobaltstrike C2 IP
39.107.136.241,5555,Possible Cobaltstrike C2 IP
39.107.136.241,8081,Possible Cobaltstrike C2 IP
39.107.79.119,4443,Possible Cobaltstrike C2 IP
39.107.85.83,50050,Possible Cobaltstrike C2 IP
39.108.142.219,64412,Possible Cobaltstrike C2 IP
39.98.192.104,8443,Possible Cobaltstrike C2 IP
39.99.128.40,35001,Possible Cobaltstrike C2 IP
40.124.112.232,80,Possible Cobaltstrike C2 IP
42.121.120.196,80,Possible Cobaltstrike C2 IP
42.194.172.248,443,Possible Cobaltstrike C2 IP
42.51.37.127,8087,Possible Cobaltstrike C2 IP
43.128.134.96,443,Possible Cobaltstrike C2 IP
43.130.237.21,2052,Possible Cobaltstrike C2 IP
43.130.237.21,2086,Possible Cobaltstrike C2 IP
43.130.237.21,53,Possible Cobaltstrike C2 IP
