#domain,ioc,uri_path
baiduyuna.tk,Possible Cobalt Strike C2 Domain,/links
baiduyuna.tk,Possible Cobalt Strike C2 Fronting Domain,/adminhtml
baiduyuna.tk,Possible Cobalt Strike C2 Fronting Domain,/links
baldocdn.fun,Possible Cobalt Strike C2 Fronted Domain,/Collector/2.0/settings/
baldocdn.xyz,Possible Cobalt Strike C2 Domain,/api/getit
baldocdn.xyz,Possible Cobalt Strike C2 Fronted Domain,/Collector/2.0/settings/
banweb.cityu.dev,Possible Cobalt Strike C2 Domain,/include/template/ClassSvc.php
baofenh.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
bbnews.weixin.com,Possible Cobalt Strike C2 Fronting Domain,/ca
bbnews.weixin.com,Possible Cobalt Strike C2 Fronting Domain,/cm
bbnews.weixin.com,Possible Cobalt Strike C2 Fronting Domain,/load
bbnews.weixin.com,Possible Cobalt Strike C2 Fronting Domain,/match
bbnews.weixin.com,Possible Cobalt Strike C2 Fronting Domain,/ptj
bbnews.weixin.com,Possible Cobalt Strike C2 Fronting Domain,/push
bbnews.weixin.com,Possible Cobalt Strike C2 Fronting Domain,/visit.js
bbs.robomaster.com,Possible Cobalt Strike C2 Fronted Domain,/viewerng/meta
beast.cybersecuritytesting.net,Possible Cobalt Strike C2 Domain,/__utm.gif
beast.cyberstonesecurity.com,Possible Cobalt Strike C2 Domain,/j.ad
bedorix.top,Possible Cobalt Strike C2 Domain,/fwlink
beff1.com,Possible Cobalt Strike C2 Domain,/cx
benjithecat.com,Possible Cobalt Strike C2 Fronted Domain,/services/data/v36.0/sobjects/account/describe
bennssi.com,Possible Cobalt Strike C2 Domain,/pixel
bg.knonwsec.com,Possible Cobalt Strike C2 Domain,/image/
bidenalabma.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
biggieb.wicp.top,Possible Cobalt Strike C2 Domain,/updates.rss
bing.orangetodayline.com,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
blaze.azureedge.net,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
blog.f4l1k.tk,Possible Cobalt Strike C2 Domain,/api/3
blog.walterierodriqu.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/835-11154526-9421060/field-keywords=week
blue-shape-be23.taohuaxin.workers.dev,Possible Cobalt Strike C2 Domain,/updates
bluekuraso.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
bnbshut.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
bookwsax.com,Possible Cobalt Strike C2 Fronting Domain,/questions/32251816/c-sharp-directives-compilation-error
boschko.herokuapp.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
breach.c2scratch.com,Possible Cobalt Strike C2 Domain,/messages/NvfsNRUe5skFDLWEKq-a-5kI-7
breach.c2scratch.com,Possible Cobalt Strike C2 Fronting Domain,/c/msdownload/update/others/2019/12/X7ZcArSxFMICOCx1s4vgn03
breach.c2scratch.com,Possible Cobalt Strike C2 Fronting Domain,/messages/NvfsNRUe5skFDLWEKq-a-5kI-7
breachtest.azureedge.net,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/2019/12/X7ZcArSxFMICOCx1s4vgn03
breachtest.azureedge.net,Possible Cobalt Strike C2 Fronted Domain,/messages/NvfsNRUe5skFDLWEKq-a-5kI-7
brelle2.com,Possible Cobalt Strike C2 Domain,/pixel
brtryushy.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
bsyhkj.noip.cn,Possible Cobalt Strike C2 Domain,/visit.js
bt.myjojoli.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
btcfans.com,Possible Cobalt Strike C2 Fronted Domain,/viewerng/meta
bucejay.com,Possible Cobalt Strike C2 Fronted Domain,/d_config.js
bug.yi567.xyz,Possible Cobalt Strike C2 Domain,/load
buildmarket.sytes.net,Possible Cobalt Strike C2 Domain,/images/codeispoetry.jpg
burden.f3322.net,Possible Cobalt Strike C2 Domain,/image/
businessruby.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
buy9185.com,Possible Cobalt Strike C2 Domain,/updates
c.g00g1e.space,Possible Cobalt Strike C2 Domain,/image/
c1.windowsupdates.me,Possible Cobalt Strike C2 Domain,/fwlink
c2.thestronghold.xyz,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
c2.viris.eu,Possible PoshC2 Domain,/classroom/sharewidget/
c2.windowsupdates.me,Possible Cobalt Strike C2 Domain,/cm
c2.windowsupdates.me,Possible Cobalt Strike C2 Domain,/en_US/all.js
cafebizup.com,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/29136766_
californiaharty.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
careercrying.com,Possible Cobalt Strike C2 Fronted Domain,/services/data/v36.0/sobjects/account/describe
cc12234.cityu.dev,Possible Cobalt Strike C2 Domain,/center/gateway/common.php
cc12234.cityu.dev,Possible Cobalt Strike C2 Domain,/core/wp-includes/pol.php
cdn-msdn.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
cdn-proxy.content-streaming.com,Possible Cobalt Strike C2 Fronted Domain,/api2/json/cluster/resources
