#domain,ioc
ns2.connectivitytests.com,Possible Cobalt Strike C2 Domain
ns2.crmloans.com,Possible Cobalt Strike C2 Domain
ns2.ddav.top,Possible Cobalt Strike C2 Domain
ns2.ddporn.top,Possible Cobalt Strike C2 Domain
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns2.glthub.icu,Possible Cobalt Strike C2 Domain
ns2.hkappdev.com,Possible Cobalt Strike C2 Domain
ns2.hostwps.cn,Possible Cobalt Strike C2 Domain
ns2.ig-pay.com,Possible Cobalt Strike C2 Domain
ns2.killgod.icu,Possible Cobalt Strike C2 Domain
ns2.nactrace.com,Possible Cobalt Strike C2 Domain
ns2.sangfor.sbs,Possible Cobalt Strike C2 Domain
ns2.sdkhsdfsdl54dsd.cfd,Possible Cobalt Strike C2 Domain
ns2.sentinelonebit.com,Possible Cobalt Strike C2 Domain
ns2.sex666vr.com,Possible Cobalt Strike C2 Domain
ns2.translategoos.com,Possible Cobalt Strike C2 Domain
ns2.vip8025.mom,Possible Cobalt Strike C2 Domain
ns2.wpk1.club,Possible Cobalt Strike C2 Domain
ns2.zonstcom.com,Possible Cobalt Strike C2 Domain
ns3.akawowfast.com,Possible Cobalt Strike C2 Domain
ns3.ig-pay.com,Possible Cobalt Strike C2 Domain
ns3.killgod.icu,Possible Cobalt Strike C2 Domain
ns3.kqilife.com,Possible Cobalt Strike C2 Domain
ns3.translategoos.com,Possible Cobalt Strike C2 Domain
ns3.wpk1.club,Possible Cobalt Strike C2 Domain
ns4.toptencent.com,Possible Cobalt Strike C2 Domain
nt1.227api.com,Possible Cobalt Strike C2 Domain
nt2.227api.com,Possible Cobalt Strike C2 Domain
nt3.227api.com,Possible Cobalt Strike C2 Domain
occ.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
one.cloudfleras.com,Possible Cobalt Strike C2 Domain
online.idc.zone,Possible Cobalt Strike C2 Domain
openshift.echase.cn,Possible Cobalt Strike C2 Fronting Domain
partnership.lol,Possible Cobalt Strike C2 Fronting Domain
piclaid.com,Possible Cobalt Strike C2 Domain
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain
pull.m1cr0s0ft.xyz,Possible Cobalt Strike C2 Domain
qq.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain
quad9.route-api.com,Possible Cobalt Strike C2 Domain
query.freeresolver.online,Possible Cobalt Strike C2 Domain
qw.svcsghost.com,Possible Cobalt Strike C2 Domain
regea.oss-accelerate.aliyuncs.com,Possible Cobalt Strike C2 Fronting Domain
request.freeresolver.online,Possible Cobalt Strike C2 Domain
reset-github.com,Possible Cobalt Strike C2 Domain
rss.localtechplus.com,Possible Cobalt Strike C2 Domain
s9fgwavt7mh9.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
scan.daztar.com,Possible Cobalt Strike C2 Domain
sertificationgameconnect.xyz,Possible Cobalt Strike C2 Domain
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jnajkkdg-1318687485.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-rchqbzvz-1301033415.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
sexy.sex666vr.com,Possible Cobalt Strike C2 Domain
shjhfhafgh.top,Possible Cobalt Strike C2 Domain
shop.linzlin.top,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
somehost.p0c.xyz,Possible Cobalt Strike C2 Domain
sophoscore.com,Possible Cobalt Strike C2 Fronted Domain
sosgo.top,Possible Cobalt Strike C2 Domain
stage.kizc.kz,Possible Cobalt Strike C2 Domain
stam.nactrace.com,Possible Cobalt Strike C2 Domain
static.it-sharepoint.com,Possible Cobalt Strike C2 Domain
static.usesless.com,Possible Cobalt Strike C2 Fronted Domain
stingray.cisco.us.org,Possible Cobalt Strike C2 Fronted Domain
support.microsoft.com.volcgslb-mlt.com,Possible Cobalt Strike C2 Fronted Domain
support.sftech.one,Possible Cobalt Strike C2 Domain
support.twistwind.com,Possible Cobalt Strike C2 Domain
sz-sourcetail-all.volcmlt.com,Possible Cobalt Strike C2 Fronted Domain
sz-sourcetail-v4.volcmlt.com,Possible Cobalt Strike C2 Fronted Domain
szyzs.szunicom.com,Possible Cobalt Strike C2 Fronted Domain
technicalsecurityops.org,Possible Cobalt Strike C2 Fronted Domain
temp3.tests.red,Possible Cobalt Strike C2 Domain
tencentsec.xyz,Possible Cobalt Strike C2 Domain
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain
tttt.sumikuma.tw,Possible Cobalt Strike C2 Domain
update.mloadspring.com,Possible Cobalt Strike C2 Domain
updates.localtechplus.com,Possible Cobalt Strike C2 Domain
upgrade.mloadspring.com,Possible Cobalt Strike C2 Domain
uploader-data.site,Possible Cobalt Strike C2 Domain
vccdn.techforgood.qq.com,Possible Cobalt Strike C2 Fronted Domain
view.kcc-okta.org,Possible Cobalt Strike C2 Domain
virginia.ns.cloudflare.com,Possible Cobalt Strike C2 Domain
vvindow.top,Possible Cobalt Strike C2 Domain
waf.sadada12313131.shop,Possible Cobalt Strike C2 Domain
webhook.s3-azure.com,Possible Cobalt Strike C2 Domain
wehelpgood.xyz,Possible Cobalt Strike C2 Domain
wkixam.it.com,Possible Cobalt Strike C2 Domain
www.163microsoft.com,Possible Cobalt Strike C2 Domain
www.52mxd.org,Possible Cobalt Strike C2 Domain
www.52mxd.org,Possible Cobalt Strike C2 Fronting Domain
www.baidu-image.top,Possible Cobalt Strike C2 Domain
www.cioudfiear.com,Possible Cobalt Strike C2 Domain
www.disneygeniefinder.com,Possible Cobalt Strike C2 Domain
www.dzkjqd.com,Possible Cobalt Strike C2 Domain
www.googlef.top,Possible Cobalt Strike C2 Domain
www.gzxingyu.cloud,Possible Cobalt Strike C2 Domain
www.jvsov.top,Possible Cobalt Strike C2 Domain
www.kafos.cn,Possible Cobalt Strike C2 Fronted Domain
www.mayomedical.com,Possible Cobalt Strike C2 Fronting Domain
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain
www.minernaft.com,Possible Cobalt Strike C2 Domain
www.nemonet.top,Possible Cobalt Strike C2 Domain
www.ns1ookup.top,Possible Cobalt Strike C2 Domain
www.servgate.me,Possible Cobalt Strike C2 Domain
www.sftech.one,Possible Cobalt Strike C2 Domain
www.votass.com,Possible Cobalt Strike C2 Domain
www.votass.com,Possible Cobalt Strike C2 Fronted Domain
www.windcapital.click,Possible Cobalt Strike C2 Domain
wysylkaonline.info,Possible Cobalt Strike C2 Domain
zako.da1suki.com,Possible Cobalt Strike C2 Domain
zmrsk9b7ub.execute-api.us-east-1.amazonaws.com,Possible Cobalt Strike C2 Domain
zx.svcsghost.com,Possible Cobalt Strike C2 Domain
zxsmartauto.com,Possible Cobalt Strike C2 Fronted Domain
