#ip,port,ioc
110.41.2.207,53,Possible Cobaltstrike C2 IP
110.41.23.0,9090,Possible Cobaltstrike C2 IP
110.41.43.248,80,Possible Cobaltstrike C2 IP
110.41.43.248,8080,Possible Cobaltstrike C2 IP
110.42.109.26,54010,Possible Cobaltstrike C2 IP
110.42.214.238,443,Possible Cobaltstrike C2 IP
110.42.247.84,80,Possible Cobaltstrike C2 IP
110.42.252.7,443,Possible Cobaltstrike C2 IP
110.42.41.180,44444,Possible Cobaltstrike C2 IP
110.42.48.177,443,Possible Cobaltstrike C2 IP
111.119.234.149,80,Possible Cobaltstrike C2 IP
111.119.236.158,443,Possible Cobaltstrike C2 IP
111.119.236.158,80,Possible Cobaltstrike C2 IP
111.119.239.229,8081,Possible Cobaltstrike C2 IP
111.173.104.246,80,Possible Cobaltstrike C2 IP
111.173.118.193,81,Possible Cobaltstrike C2 IP
111.229.110.232,12345,Possible Cobaltstrike C2 IP
111.229.121.78,7005,Possible Cobaltstrike C2 IP
111.229.123.199,80,Possible Cobaltstrike C2 IP
111.229.142.238,33889,Possible Cobaltstrike C2 IP
111.229.142.238,8086,Possible Cobaltstrike C2 IP
111.229.178.230,50040,Possible Cobaltstrike C2 IP
111.229.187.190,8344,Possible Cobaltstrike C2 IP
111.229.208.249,443,Possible Cobaltstrike C2 IP
111.229.209.159,443,Possible Cobaltstrike C2 IP
111.229.239.68,443,Possible Cobaltstrike C2 IP
111.229.239.68,8443,Possible Cobaltstrike C2 IP
111.229.82.156,443,Possible Cobaltstrike C2 IP
111.229.82.156,80,Possible Cobaltstrike C2 IP
111.230.212.37,6789,Possible Cobaltstrike C2 IP
111.230.214.41,443,Possible Cobaltstrike C2 IP
111.230.233.129,443,Possible Cobaltstrike C2 IP
111.230.244.189,2096,Possible Cobaltstrike C2 IP
111.230.244.189,80,Possible Cobaltstrike C2 IP
111.230.246.41,8080,Possible Cobaltstrike C2 IP
111.230.25.167,80,Possible Cobaltstrike C2 IP
111.230.5.199,2087,Possible Cobaltstrike C2 IP
111.230.5.199,2096,Possible Cobaltstrike C2 IP
111.230.53.71,443,Possible Cobaltstrike C2 IP
111.230.53.71,8888,Possible Cobaltstrike C2 IP
111.230.62.182,53,Possible Cobaltstrike C2 IP
111.231.144.159,4444,Possible Cobaltstrike C2 IP
111.231.20.243,8089,Possible Cobaltstrike C2 IP
111.231.20.243,9999,Possible Cobaltstrike C2 IP
111.231.22.61,443,Possible Cobaltstrike C2 IP
111.231.22.61,80,Possible Cobaltstrike C2 IP
111.231.28.71,2222,Possible Cobaltstrike C2 IP
111.90.151.170,1338,Possible Metasploit C2 IP
111.92.242.44,443,Possible Cobaltstrike C2 IP
