#domain,ioc
support.meedicalabc.com,Possible Cobalt Strike C2 Domain
support.popuiarenlinea.com,Possible Cobalt Strike C2 Fronted Domain
test.info-twpower.top,Possible Cobalt Strike C2 Domain
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain
time.api.chinabm.cn,Possible Cobalt Strike C2 Domain
update.360safety.xyz,Possible Cobalt Strike C2 Domain
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain
update.api.qianxin.xyz,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.microsofthk.com,Possible Cobalt Strike C2 Domain
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain
update.mirrorss.top,Possible Cobalt Strike C2 Domain
update.twittermisc.com,Possible Cobalt Strike C2 Fronted Domain
update.winservers-network.com,Possible Cobalt Strike C2 Fronted Domain
upgrade.mirrorss.top,Possible Cobalt Strike C2 Domain
vpn.icbcbc.com.cn,Possible Cobalt Strike C2 Domain
vsj888.shop,Possible Cobalt Strike C2 Domain
w.sanfor.club,Possible Cobalt Strike C2 Domain
ww2.jji.cz,Possible Cobalt Strike C2 Domain
www.040.red,Possible Cobalt Strike C2 Domain
www.dahuatec.xyz,Possible Cobalt Strike C2 Domain
www.flash-update.info,Possible Cobalt Strike C2 Domain
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain
www.jumpsrever.top,Possible Cobalt Strike C2 Domain
www.lieamwalls.com,Possible Cobalt Strike C2 Domain
www.loginmicrosoftadmin.shop,Possible Cobalt Strike C2 Domain
www.qichen.fun,Possible Cobalt Strike C2 Domain
www.sonystore.xyz,Possible Cobalt Strike C2 Domain
www.supportsmicrosoft.xyz,Possible Cobalt Strike C2 Domain
www.test9977.tk,Possible Cobalt Strike C2 Domain
www.weepstakes.com,Possible Cobalt Strike C2 Domain
www.xahoithongtins.com,Possible Cobalt Strike C2 Domain
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
zakat.dompetdhuaafa.biz.id,Possible Cobalt Strike C2 Fronted Domain
